Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pickplacev1_episode_success,Traj_Infos/pickplacev1_episode_success_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/buttonpresstopdownv1_episode_success,Traj_Infos/buttonpresstopdownv1_episode_success_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/basketballv1_episode_success,Traj_Infos/basketballv1_episode_success_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/shelfplacev1_episode_success,Traj_Infos/shelfplacev1_episode_success_traj_sum,Traj_Infos/sweepintov1_episode_success,Traj_Infos/sweepintov1_episode_success_traj_sum,Traj_Infos/leverpullv1_episode_success,Traj_Infos/leverpullv1_episode_success_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,eta_loss/Average,eta_loss/Std,eta_loss/Median,eta_loss/Min,eta_loss/Max,alpha_loss/Average,alpha_loss/Std,alpha_loss/Median,alpha_loss/Min,alpha_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,alpha_mu_loss/Average,alpha_mu_loss/Std,alpha_mu_loss/Median,alpha_mu_loss/Min,alpha_mu_loss/Max,alpha_sigma_loss/Average,alpha_sigma_loss/Std,alpha_sigma_loss/Median,alpha_sigma_loss/Min,alpha_sigma_loss/Max,mu_kl/Average,mu_kl/Std,mu_kl/Median,mu_kl/Min,mu_kl/Max,sigma_kl/Average,sigma_kl/Std,sigma_kl/Median,sigma_kl/Min,sigma_kl/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,normalized_return/Average,normalized_return/Std,normalized_return/Median,normalized_return/Min,normalized_return/Max,alpha/Average,alpha/Std,alpha/Median,alpha/Min,alpha/Max,eta/Average,eta/Std,eta/Median,eta/Min,eta/Max,alpha_mu/Average,alpha_mu/Std,alpha_mu/Median,alpha_mu/Min,alpha_mu/Max,alpha_sigma/Average,alpha_sigma/Std,alpha_sigma/Median,alpha_sigma/Min,alpha_sigma/Max,pi_mu/Average,pi_mu/Std,pi_mu/Median,pi_mu/Min,pi_mu/Max,pi_log_std/Average,pi_log_std/Std,pi_log_std/Median,pi_log_std/Min,pi_log_std/Max,policy_kl/Average,policy_kl/Std,policy_kl/Median,policy_kl/Min,policy_kl/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,optim_buffer_wait_time/Average,optim_buffer_wait_time/Std,optim_buffer_wait_time/Median,optim_buffer_wait_time/Min,optim_buffer_wait_time/Max
82215,264,39.5959587097168,0,0,104.97414708137512,0,0,0.0,0.0,nan,nan,nan,1.0,311.42045454545456,10022.52500687054,300.0,2810.4261826025577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82151,264,81.00214004516602,24,128,779.113418340683,5046272,2100,3.409090909090909,3.409090909090909,7485.503686164799,7975.356560864005,3.1150833211024054,0.4327581609572744,311.1780303030303,28466.51762440386,300.0,7943.178767387729,0.20987654320987653,19.96296296296298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021464646464646464,2.0416666666666683,0.03201506591337099,3.045197740112997,0.0,0.0,0.0,0.0,0.0,0.0,5566.4889540309,53032.26973494575,116.22465515136719,16.55835723876953,1761344.0,4.235999346574148,0.23959316433237104,4.232076644897461,2.4924798011779785,6.5748066902160645,34.77046780268351,4.597267019858986,35.93933296203613,5.592829704284668,39.17124938964844,nan,nan,nan,nan,nan,5527.475509995279,53031.90503300676,75.9414291381836,5.7865471839904785,1761301.25,0.007012516667933336,0.00021545861561948393,0.0069142356514930725,0.006757489405572414,0.007499999832361937,-0.0011244768427378035,0.00092670884952185,-0.0008355047320947051,-0.007158064283430576,9.754890015756246e-06,0.005255219858010735,0.0034786026439375473,0.004840500419959426,2.5983595151046757e-06,0.02403651364147663,0.0011344768192189138,0.0009267088202373147,0.000845504691824317,2.4511066953891714e-07,0.007168063893914223,3.5730705,102.28135,-1.2423992,-58.06987,21059.607,2.2456949,103.22569,-2.6301198,-62.1534,21059.254,nan,nan,nan,nan,nan,1.124192277987798,0.07213625384826558,1.1239238381385803,1.0,1.2462400197982788,0.9350022471518744,0.02872781804208685,0.92189821600914,0.9009984731674194,1.0,1.1312524378015882,0.07694229109554744,1.1297993659973145,0.9994532465934753,1.2640312910079956,0.0672799181920432,0.02252504006026179,0.06394639238715172,0.019137125462293625,0.14898963272571564,0.6985744186526253,0.009496767129460171,0.6985442042350769,0.6656052470207214,0.7280459403991699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
81948,264,123.11825776100159,49,258,1473.8280701637268,10171392,4600,3.996003996003996,3.7048223094734722,7377.302301816803,7853.404094772377,3.598599789769217,0.5059842208604189,310.40909090909093,8447.389287695,297.8030303030303,2678.0681188032668,0.0,0.0,0.0,0.0,0.0,0.0,0.20987654320987653,36.20987654320993,0.9444444444444443,91.27777777777787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10732323232323232,12.001262626262639,0.160075329566855,17.900188323917156,0.0,0.0,0.0,0.0,0.0,0.0,281.2394452577591,2335.872102234417,44.483354568481445,5.453824043273926,82615.4296875,4.287209600162506,0.3490595253345577,4.27632999420166,2.424882650375366,6.697640419006348,25.13917460529804,11.798148821210487,32.52889442443848,0.5953457355499268,36.92087173461914,nan,nan,nan,nan,nan,251.80605600714682,2334.816479160886,8.323062896728516,0.6130561828613281,82576.7109375,0.006987465407885611,0.0001156084439739043,0.006937767146155238,0.0068533942103385925,0.0072177136316895485,-0.001861357658356428,0.0006051690966273436,-0.0017380272038280964,-0.005448844283819199,-0.0008611081866547465,0.007969279845058918,0.002335153567303404,0.007465091068297625,0.0038667768239974976,0.019783644005656242,0.0018713576498441398,0.0006051690731563232,0.0017480271635577083,0.0008711082045920193,0.005458843428641558,0.074615195,21.41331,-0.47780538,-17.730038,5785.537,-0.3761825,22.246422,-0.6322094,-27.045181,5784.704,nan,nan,nan,nan,nan,1.3735086204051972,0.07229589477055058,1.3754603266716003,1.2463399171829224,1.495643973350525,0.9316620712041855,0.015414457557388402,0.9250355660915375,0.9137858748435974,0.9623619318008423,1.3902505683898925,0.06590971383621652,1.3912528157234192,1.2641680240631104,1.5007997751235962,0.09411797353029251,0.014457093148329768,0.09503133594989777,0.058044835925102234,0.1394001543521881,0.7071434289932251,0.009746887444941735,0.7059317231178284,0.6816236972808838,0.7373119592666626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82027,264,165.62956428527832,73,383,2146.7914769649506,15099392,7000,3.9896103896103896,3.797768810823641,7322.835016281361,7816.612868503749,3.5663157546824813,0.5046536013235194,310.7083333333333,17433.605690065153,300.0,5056.831590690736,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,94.02777777777789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08459595959595959,8.549242424242435,0.1261770244821092,12.751412429378547,0.0,0.0,0.0,0.0,0.0,0.0,61.92011550962925,229.37227426941644,18.04086208343506,4.7554755210876465,3750.96044921875,4.276133658985297,0.32881677697163497,4.275773763656616,2.3688440322875977,6.389519214630127,16.087058840108416,13.333694280294504,12.253944873809814,0.24743273854255676,35.32719802856445,nan,nan,nan,nan,nan,41.55022871110588,225.90100537955226,1.627333641052246,0.19541321694850922,3713.84619140625,0.006678603970018836,0.0003466275835994666,0.006755244918167591,0.006046430207788944,0.007187081966549158,-0.0012859647390966226,0.0005865266364026063,-0.0012261959491297603,-0.0045576211996376514,-0.00031969265546649694,0.005923373703747833,0.0020264813059786215,0.005564548075199127,0.002224854426458478,0.017576100304722786,0.001295964725856417,0.0005865266312298319,0.001236195967067033,0.00032969267340376973,0.0045676217414438725,0.0069440124,8.695625,-0.22669053,-10.472573,1548.2103,-0.2278746,9.11738,-0.4392922,-14.479546,1544.5198,nan,nan,nan,nan,nan,1.5998351198931535,0.058287214472689294,1.6013779640197754,1.4957417249679565,1.6988418102264404,0.8904805486152569,0.04621701318645033,0.9006993174552917,0.8061908483505249,0.958277702331543,1.6045568775137264,0.05254030736573265,1.6158056259155273,1.5009020566940308,1.6869834661483765,0.0769249612892357,0.015615105290569597,0.07585961371660233,0.025174038484692574,0.13396185636520386,0.7046799264351526,0.006521175181187691,0.7048261761665344,0.6829299926757812,0.7253618240356445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82026,264,207.44347381591797,97,507,2814.271800994873,19987968,9400,4.021784666945957,3.852557698711545,7323.92525143685,7813.390469284337,3.5956116062117967,0.5100979186535827,310.70454545454544,16846.474003287924,300.0,4827.81527872792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9305555555555555,93.9861111111112,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838383838383838,8.547979797979806,0.1318267419962335,12.749529190207168,0.0,0.0,0.0,0.0,0.0,0.0,89.32215831359227,886.9518570281554,16.012229919433594,4.773570537567139,17702.6484375,4.210394188463688,0.33432244744853673,4.223803997039795,2.8687353134155273,6.451810836791992,14.355997928294043,12.646890126682669,10.214861392974854,0.29600515961647034,34.527801513671875,nan,nan,nan,nan,nan,70.75041867633661,885.4404024086492,1.5674412846565247,0.13886156678199768,17666.091796875,0.005329335576194959,0.0003677520521045612,0.005246507003903389,0.004922423977404833,0.00604619225487113,-0.000977744636462982,0.00036831590625312167,-0.0008783153316471726,-0.0035329621750861406,-0.00047976020141504705,0.0057969398869317955,0.0018778965205155358,0.00554234441369772,0.0016166554996743798,0.014217814430594444,0.0009877446167471742,0.0003683158949380682,0.0008883153495844454,0.0004897603066638112,0.003542961785569787,0.021976715,11.350974,-0.1812125,-26.233973,3581.1445,0.11591011,11.577835,-0.3663067,-9.039562,3580.4272,nan,nan,nan,nan,nan,1.796458949347337,0.06048659544502735,1.7929013967514038,1.6989178657531738,1.9078419208526611,0.7105780927091837,0.04903360840899179,0.6995342373847961,0.6563231945037842,0.8061590790748596,1.7864744138717652,0.06381906423476355,1.7828177213668823,1.6870746612548828,1.9043962955474854,0.08319319715257734,0.014119928492251731,0.08414985239505768,0.020718785002827644,0.1160162091255188,0.6960566817969084,0.006334194319406012,0.6963403522968292,0.6818690299987793,0.7126023769378662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82015,264,248.95194840431213,121,632,3487.7802340984344,24915968,11800,3.9896103896103896,3.87966463915831,7316.909125089233,7797.468866260589,3.563429768712289,0.5062422626727421,310.6628787878788,26950.525217850354,300.0,6635.470875528316,0.024691358024691357,1.259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.875,91.29166666666676,0.3055555555555555,19.749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09595959595959595,9.325757575757585,0.1431261770244821,13.909604519774025,0.0,0.0,0.0,0.0,0.0,0.0,25.555192606449125,73.31428327613858,14.924051284790039,4.749782562255859,1204.9296875,4.163929309646289,0.30493021101271434,4.164093494415283,2.9769058227539062,5.904073238372803,11.39977179426079,9.43609668643538,8.946602821350098,0.23365791141986847,33.42485809326172,nan,nan,nan,nan,nan,9.987122364590565,70.29207379306169,1.6885314583778381,0.2052060067653656,1169.236572265625,0.004349243480052488,0.0003486884569731496,0.0042764656245708466,0.0038557578809559345,0.004947390872985125,-0.0008682202959122758,0.0003216097955457284,-0.0007892968133091927,-0.002353078918531537,-0.000390389293897897,0.006107800438379248,0.002056761050948058,0.0056877643801271915,0.0029986058361828327,0.02664627879858017,0.0008782202829146021,0.0003216097892331716,0.0007992967730388045,0.00040038934093900025,0.002363078761845827,-0.013661436,4.3223257,-0.12438786,-23.40044,859.883,0.09118762,4.8300347,-0.40976113,-7.1779923,859.4132,nan,nan,nan,nan,nan,2.0157922675212223,0.05968190154656432,2.016598105430603,1.90793776512146,2.114931106567383,0.5798991427818934,0.04649179706746752,0.5701953768730164,0.5141010284423828,0.6596521735191345,2.009018567800522,0.055942805292295714,2.0116182565689087,1.9044886827468872,2.102931022644043,0.0767234955728054,0.01843091169359411,0.07316630706191063,0.030664123594760895,0.12667427957057953,0.6890371027588844,0.005829673668002148,0.6890902817249298,0.6733849048614502,0.7079017758369446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82007,264,291.16190004348755,146,762,4186.609497785568,30041088,14300,3.996003996003996,3.899512560929884,7333.865747062531,7805.314138591266,3.5774117225852913,0.5071042128621356,310.63257575757575,23425.8107195726,299.9734848484849,5746.903341004787,0.04938271604938271,3.7777777777777803,0.018518518518518517,3.7962962962963025,0.0,0.0,0.0,0.0,0.9583333333333334,96.79166666666676,0.19444444444444442,11.305555555555543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,9.958333333333343,0.15254237288135594,14.85310734463278,0.0,0.0,0.0,0.0,0.0,0.0,22.10533307247162,80.53133884078751,8.329535961151123,4.764951705932617,1407.017822265625,4.160163970279694,0.23111961058780348,4.181190013885498,2.752948045730591,5.412831783294678,6.811433927285671,8.677521779487721,3.199630856513977,0.370178759098053,32.84672546386719,nan,nan,nan,nan,nan,11.130308509141207,77.00967044076198,0.9271063804626465,0.14208278059959412,1371.14453125,0.003404498193785548,0.00022795818555854653,0.0034253172343596816,0.003091480117291212,0.0038549897726625204,-0.0007811532863182947,0.00031257623881238334,-0.0007155628118198365,-0.0027541269082576036,-0.0002784088719636202,0.006688106596842408,0.00273795950564831,0.005924828117713332,0.0027934741228818893,0.025976283475756645,0.000791153275500983,0.0003125762241675691,0.0007255628297571093,0.000288408889900893,0.00276412651874125,-0.0003837714,4.509452,-0.10569161,-40.45496,1022.8387,0.113511495,4.79082,-0.30778342,-6.260854,1022.67926,nan,nan,nan,nan,nan,2.204474323940277,0.05182550288312047,2.2046430110931396,2.115001678466797,2.293562889099121,0.4539331012964249,0.030394424342104997,0.4567089378833771,0.4121972918510437,0.5139986276626587,2.2133664876937864,0.06790728132943906,2.209896206855774,2.1029977798461914,2.347933530807495,0.0951146807283163,0.010171521259952196,0.09583424031734467,0.05404167249798775,0.12618692219257355,0.6937390701055527,0.005384611548380162,0.6936519742012024,0.6789466738700867,0.7088431119918823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82030,264,333.4726288318634,170,887,4863.576294898987,34969088,16700,3.9896103896103896,3.9122095491881286,7279.5298395917725,7764.835547867317,3.5452255712297593,0.501600371777887,310.719696969697,25080.14166154524,300.0,5539.638820946654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861111111111111,81.56944444444451,0.25,14.138888888888872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08964646464646464,8.058080808080813,0.13370998116760827,12.018832391713756,0.0,0.0,0.0,0.0,0.0,0.0,31.85500535786152,221.35929128832052,6.367575407028198,4.7562665939331055,5130.18701171875,4.252161771257718,0.21856336739484877,4.249971866607666,2.588148832321167,6.077850818634033,5.787398207820952,9.214813176243014,1.4973688125610352,0.3496186435222626,32.243507385253906,nan,nan,nan,nan,nan,21.812679642469934,218.8260239847434,0.5930993556976318,0.09389559924602509,5095.7548828125,0.0027418130083242433,0.0004625558119286374,0.002853902755305171,0.001944035175256431,0.0032947673462331295,-0.0006166364417792162,0.00027422154617569246,-0.0005473466299008578,-0.001832739100791514,-0.00018435779202263802,0.005409152557549532,0.0019409299187035315,0.005195947363972664,0.001928727375343442,0.013941893354058266,0.0006266364423269503,0.000274221535104743,0.000557346676941961,0.00019435779540799558,0.0018427390605211258,0.016885715,6.3270874,-0.11477952,-72.59519,1469.034,0.034042545,6.5272155,-0.2877478,-5.950021,1471.9375,nan,nan,nan,nan,nan,2.3591710882385573,0.03955318335379713,2.356716752052307,2.293614387512207,2.4310667514801025,0.3655750772729516,0.06167411190088893,0.38052040338516235,0.2592046856880188,0.43930238485336304,2.443491704861323,0.047826782459439436,2.447892427444458,2.3480803966522217,2.5270233154296875,0.08907502222340553,0.009396828389534252,0.0887698344886303,0.05798041447997093,0.12040431797504425,0.7045670156429211,0.004125323021798852,0.7047385573387146,0.6916471123695374,0.7166836857795715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82043,264,375.3821530342102,194,1011,5531.898393630981,39857664,19100,4.021784666945957,3.925649029506596,7314.700515327982,7804.083440806832,3.59108280955173,0.5097423822709297,310.7689393939394,23216.48216234893,300.0,5562.008593941036,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.9305555555555555,91.20833333333341,0.16666666666666666,8.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09343434343434343,8.679292929292936,0.13935969868173256,12.945386064030142,0.0,0.0,0.0,0.0,0.0,0.0,37.794684053460756,221.2528885135983,6.415984630584717,4.782147407531738,4816.97265625,4.26332066098849,0.21566935643556073,4.264252424240112,2.469825267791748,5.470119476318359,6.228558126352727,9.188381532357331,1.4669588208198547,0.34829333424568176,31.910139083862305,nan,nan,nan,nan,nan,27.30139885623629,218.20176004446682,0.6466740369796753,0.09758545458316803,4782.095703125,0.0013800442942253236,0.00044751090205058747,0.0015337960212491453,0.0005506611778400838,0.0019434232963249087,-0.0004968597621397445,0.0002102773925231666,-0.0004619922983692959,-0.0018896537367254496,-0.0001344128540949896,0.0050170627065138735,0.002218256057197669,0.004720171680673957,0.001216517062857747,0.02207014337182045,0.0005068597652583169,0.00021027738634482278,0.0004719923163065687,0.00014441285748034716,0.0018996538128703833,0.006566728,7.024435,-0.13945842,-74.21033,1446.8134,0.22423115,7.125861,-0.20290735,-5.9637775,1448.8512,nan,nan,nan,nan,nan,2.5083168635765714,0.0442173504198404,2.5075875520706177,2.431142807006836,2.5907907485961914,0.18400591048722467,0.05966812112326556,0.20450614392757416,0.07342149317264557,0.2591231167316437,2.6308770017822583,0.0579338644791945,2.6406999826431274,2.5270869731903076,2.732114315032959,0.10557208532777926,0.011608832459925765,0.106041818857193,0.06964484602212906,0.14169402420520782,0.705965240324537,0.0037586823493587743,0.7058752477169037,0.6948927640914917,0.7196095585823059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
82013,264,417.18798065185547,218,1136,6208.241683244705,44785664,21500,3.9896103896103896,3.9326870312785807,7286.240694151785,7766.2869336317535,3.5484938445544407,0.503210861762316,310.655303030303,24761.145508571004,300.0,5945.050130931225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9027777777777777,89.79166666666674,0.19444444444444442,11.305555555555543,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,7.5185185185185315,0.0,0.0,0.26666666666666666,26.93333333333336,0.0,0.0,0.10732323232323232,10.463383838383848,0.13559322033898305,12.941619585687395,0.04980842911877394,5.421455938697324,0.0,0.0,0.0,0.0,28.631430991292,134.19542489569417,7.990633249282837,4.905361175537109,2962.468994140625,4.280777300695578,0.23342571061116726,4.271228075027466,2.7764341831207275,6.795459747314453,8.701314380069574,10.372245751835825,2.5609891414642334,0.3891562819480896,31.13481903076172,nan,nan,nan,nan,nan,15.649060237525651,131.54993913481863,1.0984755158424377,0.1329946666955948,2928.55859375,0.00025036337548044684,0.00011512044174383068,0.000239725319261197,3.833291702903807e-05,0.0005499986000359058,-0.0006198758211212408,0.0002208163376537037,-0.0005684984498657286,-0.0019750914070755243,-0.00023337987659033388,0.006699788074183743,0.0022058968812789887,0.006324889604002237,0.002664420520886779,0.017950022593140602,0.0006298758178369705,0.00022081632616769494,0.0005784984678030014,0.0002433798654237762,0.001985091483220458,-0.009873718,5.3418884,-0.15120077,-57.544212,1252.9158,0.36412722,5.533951,-0.102675036,-5.452456,1254.5674,nan,nan,nan,nan,nan,2.6795613778630893,0.05262326035398851,2.676377058029175,2.590885639190674,2.7708165645599365,0.03338178409088868,0.015349392776380822,0.031963372603058815,0.005111055448651314,0.07333312928676605,2.8601296003659566,0.07268629785843951,2.855459451675415,2.7322194576263428,2.977830171585083,0.09790870343800634,0.017333195724666205,0.09729636088013649,0.0457649901509285,0.15355531871318817,0.707215139567852,0.005106819398684197,0.7071858942508698,0.6922267079353333,0.7250260710716248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0
